Basin Name,District,MonsoonIntensity,Prediction
West Rapti,Dang,0,No risk
Narayani,Baglung,0,No risk
Bagmati,Lalitpur,0,No risk
Koshi,Khotang,0,No risk
Kamala,Siraha,0,No risk
Mahakali,Doti,0,No risk
Narayani,Gulmi,0,No risk
Babai,Dang,0,No risk
Narayani,Palpa,0,No risk
Narayani,Manang,0,No risk
Kankai,Jhapa,0,No risk
Narayani,Gulmi,0,No risk
Mohana,Kailali,0,No risk
Karnali,Kailali,0,No risk
Koshi,Sindhupalchok,0,No risk
Koshi,Sankhuwasabha,0,No risk
Narayani,Palpa,0,No risk
Narayani,Bara,0,No risk
Narayani,Lamjung,0,No risk
Bagmati,Rautahat,0,No risk
Karnali,Bardiya,0,No risk
Bagmati,Lalitpur,0,No risk
Karnali,Mugu,0,No risk
Rato,Mahottari,0,No risk
Narayani,Baglung,0,No risk
Narayani,Dhading,0,No risk
Narayani,Gorkha,0,No risk
Kankai,Jhapa,0,No risk
Karnali,Achham,0,No risk
Narayani,Tanahu,0,No risk
Keshaliya,Morang,2,No risk
Karnali,Bardiya,0,No risk
Mahakali,Darchula,0,No risk
Narayani,Myagdi,0,No risk
Karnali,Jumla,0,No risk
Narayani,Makwanpur,0,No risk
Kankai,Jhapa,0,No risk
,Baitadi,0,No risk
Banganga,Kapilvastu,0,No risk
Tinau,Rupandehi,0,No risk
Karnali,Dailekh,0,No risk
Narayani,Gulmi,0,No risk
Mahakali,Dadeldhura,0,No risk
Narayani,Nawalpur,0,No risk
Bagmati,Makawanpur,0,No risk
Narayani,Kaski,0,No risk
Karnali,Jumla,0,No risk
Narayani,Tanahu,0,No risk
Narayani,Chitwan,0,No risk
Keshaliya,Morang,0,No risk
Narayani,Parsa,0,No risk
Bagmati,Rautahat,0,No risk
Narayani,Baglung,0,No risk
Mechi,Jhapa,0,No risk
Koshi,Sindhupalchok,0,No risk
Koshi,Sindhupalchowk,0,No risk
Balan-Khado,Udayapur,0,No risk
Mechi,Jhapa,0,No risk
Koshi,Sindhupalchok,0,No risk
Narayani,Nawalparasi West,0,No risk
Koshi,Sindhupalchok,0,No risk
Narayani,Nawalparasi East,0,No risk
Mahakali,Baitadi,0,No risk
Koshi,Khotang,0,No risk
Koshi,Taplejung,0,No risk
Karnali,Bajura,0,No risk
Karnali,Doti,0,No risk
Tinau,Palpa,0,No risk
Narayani,Dhading,0,No risk
Mohana,Kailali,0,No risk
Koshi,Sindhupalchowk,0,No risk
Koshi,Dolakha,0,No risk
Bagmati,Kathmandu,0,No risk
Balan-Khado,Siraha,0,No risk
Bagmati,Kathmandu,0,No risk
Koshi,Sindhupalchok,0,No risk
Koshi,Sindhupaichowk,0,No risk
Koshi,Saptari,0,No risk
