S.No.,Basin Name,Station Index,Station Name,District,1hr,3hr,6hr,12hr,24hr,Status
1,West Rapti,542,Bagasoti,Dang,0,0,0,0,0,BELOW WARNING LEVEL
2,Narayani,605,Baglung,Baglung,0,0,0,0,0,BELOW WARNING LEVEL
3,Bagmati,1022,Godavari,Lalitpur,0,0,0,0,0,BELOW WARNING LEVEL
4,Koshi,120401,Aiselukhark,Khotang,0,0,0,0,0,BELOW WARNING LEVEL
5,Kamala,121502,Golbazar,Siraha,0,0,0,0,0,BELOW WARNING LEVEL
6,Mahakali,233,Gaira,Doti,0,0,0,0,0,BELOW WARNING LEVEL
7,Narayani,732,Anp Chour,Gulmi,0,0,0,0,0,BELOW WARNING LEVEL
8,Babai,515,Ghorai (Dang),Dang,0,0,0,0,0,BELOW WARNING LEVEL
9,Narayani,740,Archale,Palpa,0,0,0,0,0,BELOW WARNING LEVEL
10,Narayani,836,Goga (Tilche),Manang,0,0,0,0,0,BELOW WARNING LEVEL
11,Kankai,1409,Anarmani Birta,Jhapa,0,0,0,0,0,BELOW WARNING LEVEL
12,Narayani,417,Badigad at Rudrabeni,Gulmi,0,0,0,0,0,BELOW WARNING LEVEL
13,Mohana,,Bachila,Kailali,,,,,0,BELOW WARNING LEVEL
14,Karnali,,Garbha Durbar,Kailali,0,0,0,0,0,BELOW WARNING LEVEL
15,Koshi,,Gobre,Sindhupalchok,0,0,0,0,0,BELOW WARNING LEVEL
16,Koshi,604.5,Arun at Turkeghat,Sankhuwasabha,0,0,0,0,0,BELOW WARNING LEVEL
17,Narayani,726,Gandakot,Palpa,0,0,0,0,0,BELOW WARNING LEVEL
18,Narayani,907,Amlekhganj,Bara,0,0,0,0,0,BELOW WARNING LEVEL
19,Narayani,823,Gharedhunga,Lamjung,,0,0,0,0,BELOW WARNING LEVEL
20,Bagmati,922,Gaur,Rautahat,0,0,0,0,0,BELOW WARNING LEVEL
21,Karnali,287.5,Aurahikhola at Godana,Bardiya,0,0,0,0.2,0.2,BELOW WARNING LEVEL
22,Bagmati,1022,Godavari,Lalitpur,0,0,0,0,0,BELOW WARNING LEVEL
23,Karnali,306,Gamadi Shree Nagar,Mugu,0,0,0,0,0,BELOW WARNING LEVEL
24,Rato,1119,Gausala,Mahottari,0,0,0,0,0,BELOW WARNING LEVEL
25,Narayani,632,Galkot,Baglung,0,0,0,0,0,BELOW WARNING LEVEL
26,Narayani,934,Gajuri,Dhading,0,0,0,0,0,BELOW WARNING LEVEL
27,Narayani,1002,Arughat (rainfall),Gorkha,0,0,0,0.2,0.2,BELOW WARNING LEVEL
28,Kankai,140801,Gauradaha,Jhapa,0,0,0,0,0,BELOW WARNING LEVEL
29,Karnali,256.5,Budiganga at Chitreghat,Achham,,0,0,0,0,BELOW WARNING LEVEL
30,Narayani,808,Bandipur,Tanahu,0,0,0,0,0,BELOW WARNING LEVEL
31,Keshaliya,131201,Bahuni,Morang,0,0,0,0,2.4,BELOW WARNING LEVEL
32,Karnali,,Daulatpur,Bardiya,0,0,0,0,0,BELOW WARNING LEVEL
33,Mahakali,198,Darchula New,Darchula,0,0,0,0,0,BELOW WARNING LEVEL
34,Narayani,621,Darbang,Myagdi,0,0,0,0,0,BELOW WARNING LEVEL
35,Karnali,,DanpheLek_Snow,Jumla,0,0,0,0,0,BELOW WARNING LEVEL
36,Narayani,905,Daman,Makwanpur,0,0,0,0,0,BELOW WARNING LEVEL
37,Kankai,1408,Damak,Jhapa,0,0,0,0,0,BELOW WARNING LEVEL
38,,115,Dainsili (Sidhhapur),Baitadi,0,0,0,0,0,BELOW WARNING LEVEL
39,Banganga,723,Bhagwanpur,Kapilvastu,0,0,0,0,0,BELOW WARNING LEVEL
40,Tinau,70501,Bhairahawa_AWOS_10,Rupandehi,0,0,0,0,0,BELOW WARNING LEVEL
41,Karnali,40201,Dailekh_AWS,Dailekh,0,0,0,0,0,BELOW WARNING LEVEL
42,Narayani,733,Bharse,Gulmi,0,0,0,0,0,BELOW WARNING LEVEL
43,Mahakali,104,Dadeldhura_AWS,Dadeldhura,0,0,0,0,0,BELOW WARNING LEVEL
44,Narayani,736,Dedh Gaun,Nawalpur,,0,0,0,0,BELOW WARNING LEVEL
45,Bagmati,,Bhorleni,Makawanpur,0,0,0,0,0,BELOW WARNING LEVEL
